Dataset,Algorithm,Population Length,Generations,Selection Scheme,Selection Candidates,Crossover Scheme,Crossover Probability,Mutation Scheme,Mutation Probability,Replacement Scheme,Time(s),AvgValue,BestAvgValue,BestGeneration,HV,Spread,NumSolutions,Spacing,NumGenerations
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,181.34395551681519,0.5229415853916146,0.6435695459609272,26,1.0,0.9628282786340299,56,0.37620653972092655,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,180.63369941711426,0.5171026506214429,0.6435695459609272,10,1.0,0.9634487642438117,56,0.3852546580405391,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,179.77551102638245,0.5171026506214429,0.6435695459609272,27,1.0,0.9634487642438117,56,0.3852546580405391,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,180.95324659347534,0.5229415853916146,0.6435695459609272,25,1.0,0.9628282786340299,56,0.37620653972092655,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,181.28474020957947,0.5171042211176392,0.6435695459609272,45,1.0,0.96345019987738,55,0.38527045405285565,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,179.14231038093567,0.5171026506214429,0.6435695459609272,24,1.0,0.9634487642438117,56,0.3852546580405391,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,182.008647441864,0.517021669681803,0.6435695459609272,27,1.0,0.9632041691336088,57,0.3846472020450895,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,182.05685710906982,0.5171026506214429,0.6435695459609272,14,1.0,0.9634487642438117,56,0.3852546580405391,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,182.08503651618958,0.5171026506214429,0.6435695459609272,12,1.0,0.9634487642438117,56,0.3852546580405391,100
1,NSGAIIAlgorithm,100,100,tournament,2,onepoint,0.6,flip1bit,1.0,elitism,180.63038611412048,0.5229415853916146,0.6435695459609272,34,1.0,0.9628282786340299,56,0.37620653972092655,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,0.05,elitism,18.36553168296814,0.4668995613115247,0.6067656868624042,75,0.6868335940375414,0.5779510781096359,30,0.3249956878612694,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,0.05,elitism,16.38101816177368,0.4632200881185668,0.6222960493239134,1,0.6128945068089806,0.6589436539465753,23,0.3663636607955447,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,0.05,elitism,18.85759711265564,0.46976582915410187,0.6163638233556484,46,0.8002521929824564,0.5036117832669416,29,0.35646458092240596,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,0.05,elitism,16.57297134399414,0.5068464115770837,0.596214185611959,51,0.5044163292847503,0.7499172008102177,20,0.3015704041172767,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,0.05,elitism,16.985941410064697,0.4763797564277579,0.6163664740897563,48,0.606307891669734,0.617863112257119,24,0.31689802379976134,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,0.05,elitism,18.213893175125122,0.48079041151676444,0.6187922765493619,92,0.727759554042449,0.5901499549738795,29,0.30714035764469944,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,0.05,elitism,17.790115118026733,0.4469689266025481,0.637498535339845,76,0.7987918660287083,0.5974434073134675,26,0.35541687585509774,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,0.05,elitism,17.82817029953003,0.4618587496468949,0.617438265868215,8,0.5150469267574531,0.658689381327641,23,0.35273848191180907,100
1,GeneticNDSAlgorithm,100,100,tournament,2,onepoint,0.8,flip1bit,0.05,elitism,18.806901931762695,0.48459350146136904,0.5977717321230566,17,0.5605254723346829,0.5735466287597731,31,0.34696322096495696,100
